Name,Manufacturer,Cartridge,Country,Year
Walther PPS,Carl Walther GmbH,9×19mm Parabellum,Germany,2007
Walther TPH,Carl Walther GmbH,.22 Long Rifle,West Germany,1961
Webley Self-Loading Pistol,Webley & Scott,.38 ACP,United Kingdom,1910
Welrod,Birmingham Small Arms Company,.32 ACP,Great Britain,1943
Werder pistol model 1869,Johann Ludwig Werder,11.5mm Werder,Kingdom of Bavaria,1869
Whitney Wolverine,Whitney Firearms Inc,.22 Long Rifle,United States,1953
Wildey,Wildey F.A. Incorporated,.357 Wildey Magnum,United States,1973
WIST-94,PREXER Ltd.,9×19mm Parabellum,Poland,1994
Z84,"Star Bonifacio Echeverria, S.A.",9×19mm Parabellum,Spain,1985
Zafar,MDI-TİSAŞ,9×19mm Parabellum,Azerbaijan,2011
Zaragoza Corla,Fabrica de Armas Zaragoza,.22 Long Rifle,Mexico,1950
Zastava P25,Zastava Arms,.25 ACP,Yugoslavia,1957
Zastava M57,Zastava Arms,7.62×25mm Tokarev,Yugoslavia,1957
Zastava M70 (pistol),Zastava Arms,.32 ACP,Yugoslavia,1970
Zastava M88,Zastava Arms,9×19mm Parabellum,Yugoslavia,1987
Zastava PPZ,Zastava Arms,7.62×25mm Tokarev (Unconfirmed rumor),Serbia,2007
Zigana (pistol)[2],TİSAŞ,9×19mm Parabellum,Turkey,2001
